iter	Passed	Remaining
0	20	5282
1	43	5568
2	69	5942
3	93	5969
4	118	6035
5	142	6045
6	169	6124
7	199	6272
8	231	6457
9	254	6360
10	277	6276
11	301	6237
12	329	6252
13	351	6179
14	377	6169
15	422	6448
16	460	6582
17	487	6551
18	513	6514
19	539	6478
20	567	6462
21	604	6534
22	629	6483
23	656	6451
24	682	6411
25	711	6399
26	729	6297
27	757	6272
28	783	6241
29	809	6209
30	837	6190
31	865	6167
32	891	6132
33	920	6115
34	946	6085
35	972	6052
36	1001	6036
37	1030	6021
38	1060	6010
39	1089	5993
40	1118	5974
41	1146	5952
42	1173	5920
43	1201	5896
44	1227	5863
45	1252	5827
46	1279	5800
47	1305	5765
48	1330	5729
49	1356	5697
50	1380	5658
51	1406	5624
52	1428	5580
53	1455	5550
54	1481	5521
55	1508	5493
56	1533	5461
57	1565	5450
58	1591	5423
59	1617	5390
60	1642	5358
61	1667	5323
62	1691	5288
63	1716	5257
64	1739	5219
65	1764	5187
66	1788	5151
67	1811	5114
68	1835	5079
69	1859	5047
70	1881	5009
71	1904	4973
72	1929	4942
73	1952	4908
74	1976	4876
75	1999	4840
76	2023	4808
77	2047	4777
78	2075	4754
79	2098	4722
80	2123	4691
81	2147	4660
82	2173	4635
83	2197	4604
84	2224	4579
85	2248	4550
86	2275	4524
87	2300	4496
88	2325	4468
89	2352	4442
90	2376	4413
91	2402	4386
92	2428	4361
93	2455	4335
94	2482	4312
95	2509	4286
96	2535	4260
97	2569	4247
98	2602	4233
99	2630	4208
100	2655	4180
101	2681	4154
102	2708	4127
103	2733	4100
104	2760	4075
105	2786	4048
106	2813	4023
107	2840	3998
108	2865	3970
109	2892	3944
110	2919	3918
111	2946	3893
112	2973	3868
113	2998	3840
114	3025	3814
115	3051	3788
116	3076	3760
117	3101	3732
118	3126	3704
119	3167	3695
120	3193	3668
121	3218	3640
122	3245	3615
123	3271	3588
124	3298	3562
125	3322	3533
126	3347	3505
127	3372	3477
128	3399	3452
129	3427	3427
130	3452	3399
131	3478	3373
132	3506	3348
133	3533	3322
134	3562	3298
135	3589	3272
136	3613	3244
137	3637	3215
138	3664	3189
139	3690	3163
140	3716	3137
141	3744	3111
142	3770	3084
143	3794	3056
144	3821	3030
145	3844	3002
146	3870	2975
147	3895	2947
148	3913	2915
149	3938	2888
150	3963	2861
151	3990	2835
152	4014	2807
153	4040	2780
154	4065	2754
155	4093	2728
156	4117	2701
157	4143	2674
158	4168	2648
159	4193	2620
160	4220	2595
161	4247	2569
162	4273	2543
163	4297	2515
164	4320	2487
165	4345	2460
166	4369	2433
167	4393	2406
168	4401	2370
169	4426	2343
170	4450	2316
171	4477	2290
172	4502	2264
173	4532	2240
174	4559	2214
175	4586	2188
176	4611	2162
177	4638	2136
178	4662	2109
179	4687	2083
180	4714	2057
181	4741	2032
182	4768	2006
183	4793	1979
184	4828	1957
185	4871	1938
186	4904	1914
187	4931	1888
188	4959	1862
189	4987	1837
190	5015	1811
191	5031	1782
192	5061	1756
193	5088	1731
194	5116	1705
195	5144	1679
196	5170	1653
197	5197	1627
198	5224	1601
199	5248	1574
200	5274	1548
201	5301	1522
202	5326	1495
203	5351	1469
204	5374	1442
205	5400	1415
206	5427	1389
207	5453	1363
208	5477	1336
209	5506	1311
210	5532	1284
211	5553	1257
212	5581	1231
213	5609	1205
214	5635	1179
215	5661	1153
216	5686	1126
217	5712	1100
218	5737	1074
219	5762	1047
220	5790	1021
221	5816	995
222	5843	969
223	5869	943
224	5896	917
225	5922	890
226	5946	864
227	5970	837
228	5994	811
229	6021	785
230	6046	759
231	6080	733
232	6113	708
233	6145	682
234	6169	656
235	6193	629
236	6218	603
237	6244	577
238	6269	550
239	6295	524
240	6318	498
241	6343	471
242	6369	445
243	6395	419
244	6420	393
245	6449	367
246	6480	341
247	6504	314
248	6531	288
249	6559	262
250	6587	236
251	6612	209
252	6636	183
253	6661	157
254	6681	131
255	6707	104
256	6734	78
257	6760	52
258	6783	26
259	6807	0
