iter	Passed	Remaining
0	313	313345
1	396	197830
2	500	166370
3	612	152599
4	711	141518
5	818	135600
6	932	132290
7	1023	126959
8	1129	124406
9	1226	121459
10	1361	122442
11	1477	121687
12	1578	119857
13	1691	119133
14	1778	116792
15	1895	116602
16	2007	116090
17	2110	115130
18	2210	114112
19	2304	112942
20	2407	112254
21	2535	112734
22	2675	113644
23	2792	113572
24	2892	112805
25	2983	111778
26	3099	111698
27	3209	111419
28	3318	111115
29	3433	111011
30	3535	110505
31	3640	110121
32	3738	109552
33	3774	107254
34	3867	106629
35	3903	104515
36	4004	104230
37	4101	103838
38	4196	103396
39	4288	102914
40	4384	102545
41	4475	102090
42	4569	101707
43	4659	101239
44	4758	100985
45	4861	100821
46	4969	100767
47	5072	100613
48	5169	100332
49	5274	100224
50	5382	100157
51	5478	99879
52	5578	99673
53	5617	98405
54	5718	98258
55	5826	98216
56	5910	97774
57	5963	96853
58	6059	96644
59	6150	96353
60	6262	96401
61	6348	96042
62	6441	95798
63	6536	95592
64	6624	95295
65	6714	95016
66	6808	94808
67	6904	94626
68	6993	94360
69	7089	94189
70	7182	93980
71	7272	93734
72	7368	93563
73	7459	93345
74	7548	93098
75	7647	92975
76	7737	92744
77	7828	92536
78	7897	92073
79	7988	91871
80	8080	91675
81	8203	91839
82	8291	91611
83	8384	91427
84	8475	91239
85	8567	91058
86	8659	90871
87	8756	90746
88	8851	90606
89	8941	90405
90	9041	90311
91	9141	90222
92	9205	89780
93	9296	89604
94	9357	89145
95	9448	88973
96	9540	88813
97	9645	88780
98	9743	88675
99	9840	88561
100	9933	88419
101	10029	88295
102	10133	88252
103	10234	88171
104	10357	88288
105	10411	87808
106	10536	87934
107	10648	87950
108	10731	87725
109	10769	87136
110	10881	87149
111	10978	87047
112	11081	86981
113	11197	87025
114	11311	87050
115	11418	87019
116	11538	87083
117	11638	86989
118	11743	86942
119	11834	86788
120	11937	86718
121	12029	86572
122	12124	86447
123	12235	86439
124	12317	86224
125	12430	86221
126	12568	86394
127	12638	86098
128	12731	85961
129	12796	85637
130	12894	85539
131	12985	85390
132	13081	85275
133	13178	85166
134	13272	85039
135	13310	84563
136	13408	84466
137	13537	84559
138	13711	84933
139	13821	84901
140	13955	85022
141	14108	85247
142	14213	85182
143	14317	85111
144	14457	85250
145	14508	84867
146	14604	84748
147	14690	84567
148	14799	84528
149	14901	84439
150	15018	84442
151	15183	84706
152	15317	84794
153	15469	84983
154	15602	85060
155	15726	85084
156	15818	84937
157	15973	85125
158	16190	85636
159	16297	85560
160	16403	85481
161	16564	85687
162	16702	85765
163	16824	85765
164	16870	85375
165	16976	85292
166	17099	85294
167	17220	85280
168	17344	85287
169	17459	85242
170	17567	85165
171	17688	85150
172	17804	85112
173	17919	85067
174	18027	84988
175	18138	84922
176	18263	84918
177	18428	85101
178	18561	85135
179	18636	84898
180	18748	84836
181	18882	84868
182	18987	84768
183	19011	84309
184	19139	84318
185	19254	84264
186	19368	84204
187	19478	84128
188	19610	84147
189	19865	84691
190	19991	84674
191	20115	84652
192	20246	84659
